,LABEL,YEAR,COUNT,Percentile,Rank
136,Lake Evesham,2014,38,1.42%,1
137,Lake Walker,2014,170,6.34%,1
138,Lakeland,2014,610,22.76%,2
139,Langston Hughes,2014,196,7.31%,1
140,Lauraville,2014,378,14.10%,1
141,Levindale,2014,192,7.16%,1
142,Liberty Square,2014,186,6.94%,1
143,Little Italy,2014,346,12.91%,1
144,Loch Raven,2014,556,20.75%,2
145,Locust Point,2014,114,4.25%,1
146,Locust Point Industrial Area,2014,98,3.66%,1
147,Lower Edmondson Village,2014,72,2.69%,1
148,Lower Herring Run Park,2014,12,0.45%,1
149,Loyola/Notre Dame,2014,34,1.27%,1
150,Lucille Park,2014,98,3.66%,1
151,Madison-Eastend,2014,358,13.36%,1
152,Madison Park,2014,498,18.58%,1
153,Mayfield,2014,102,3.81%,1
154,McElderry Park,2014,990,36.94%,2
155,Medfield,2014,128,4.78%,1
156,Medford,2014,140,5.22%,1
157,Mid-Govans,2014,184,6.87%,1
158,Mid-Town Belvedere,2014,810,30.22%,2
159,Middle Branch/Reedbird Parks,2014,104,3.88%,1
160,Middle East,2014,290,10.82%,1
161,Midtown-Edmondson,2014,328,12.24%,1
162,Millhill,2014,542,20.22%,2
163,Milton-Montford,2014,274,10.22%,1
164,Mondawmin,2014,1202,44.85%,3
165,Montebello,2014,58,2.16%,1
166,Moravia-Walther,2014,72,2.69%,1
167,Morgan Park,2014,20,0.75%,1
168,Morgan State University,2014,40,1.49%,1
169,Morrell Park,2014,694,25.90%,2
170,Mosher,2014,244,9.10%,1
171,Mount Holly,2014,260,9.70%,1
172,Mount Vernon,2014,892,33.28%,2
173,Mount Washington,2014,220,8.21%,1
174,Mount Winans,2014,84,3.13%,1
175,Mt Pleasant Park,2014,6,0.22%,1
176,New Northwood,2014,470,17.54%,1
177,New Southwest/Mount Clare,2014,440,16.42%,1
178,North Harford Road,2014,460,17.16%,1
179,North Roland Park/Poplar Hill,2014,100,3.73%,1
180,NORTHEASTERN,2014,28,1.04%,1
181,NORTHERN,2014,8,0.30%,1
182,Northwest Community Action,2014,196,7.31%,1
183,NORTHWESTERN,2014,8,0.30%,1
184,O'Donnell Heights,2014,136,5.07%,1
185,Oakenshawe,2014,168,6.27%,1
186,Oaklee,2014,46,1.72%,1
187,Old Goucher,2014,308,11.49%,1
188,Oldtown,2014,450,16.79%,1
189,Oliver,2014,716,26.72%,2
190,Orangeville,2014,90,3.36%,1
191,Orangeville Industrial Area,2014,80,2.99%,1
192,Orchard Ridge,2014,114,4.25%,1
193,Original Northwood,2014,112,4.18%,1
194,Otterbein,2014,200,7.46%,1
195,Overlea,2014,56,2.09%,1
196,Panway/Braddish Avenue,2014,156,5.82%,1
197,Park Circle,2014,442,16.49%,1
198,Parklane,2014,212,7.91%,1
199,Parkside,2014,214,7.99%,1
200,Parkview/Woodbrook,2014,256,9.55%,1
201,Patterson Park,2014,98,3.66%,1
202,Patterson Park Neighborhood,2014,1028,38.36%,2
203,Patterson Place,2014,262,9.78%,1
204,Pen Lucy,2014,274,10.22%,1
205,Penn-Fallsway,2014,210,7.84%,1
206,Penn North,2014,556,20.75%,2
207,Penrose/Fayette Street Outreach,2014,660,24.63%,2
208,Perkins Homes,2014,232,8.66%,1
209,Perring Loch,2014,246,9.18%,1
210,Pimlico Good Neighbors,2014,140,5.22%,1
211,Pleasant View Gardens,2014,160,5.97%,1
212,Poppleton,2014,480,17.91%,1
213,Port Covington,2014,220,8.21%,1
214,Pulaski Industrial Area,2014,532,19.85%,1
215,Purnell,2014,38,1.42%,1
216,Radnor-Winston,2014,56,2.09%,1
217,Ramblewood,2014,142,5.30%,1
218,Reisterstown Station,2014,592,22.09%,2
219,Remington,2014,386,14.40%,1
220,Reservoir Hill,2014,804,30.00%,2
221,Richnor Springs,2014,64,2.39%,1
222,Ridgely's Delight,2014,138,5.15%,1
223,Riverside,2014,528,19.70%,1
224,Rognel Heights,2014,282,10.52%,1
225,Roland Park,2014,254,9.48%,1
226,Rosebank,2014,90,3.36%,1
227,Rosemont,2014,364,13.58%,1
228,Rosemont East,2014,264,9.85%,1
229,Rosemont Homeowners/Tenants,2014,254,9.48%,1
230,Sabina-Mattfeldt,2014,60,2.24%,1
231,Saint Agnes,2014,56,2.09%,1
232,Saint Helena,2014,78,2.91%,1
233,Saint Josephs,2014,258,9.63%,1
234,Saint Paul,2014,26,0.97%,1
235,Sandtown-Winchester,2014,1200,44.78%,3
236,Seton Business Park,2014,122,4.55%,1
237,Seton Hill,2014,280,10.45%,1
238,Sharp-Leadenhall,2014,158,5.90%,1
239,Shipley Hill,2014,322,12.01%,1
240,South Baltimore,2014,326,12.16%,1
241,South Clifton Park,2014,200,7.46%,1
242,SOUTHEASTERN,2014,22,0.82%,1
243,SOUTHERN,2014,18,0.67%,1
244,SOUTHWESTERN,2014,10,0.37%,1
245,Spring Garden Industrial Area,2014,18,0.67%,1
246,Stadium Area,2014,126,4.70%,1
247,Stonewood-Pentwood-Winston,2014,94,3.51%,1
248,Taylor Heights,2014,8,0.30%,1
249,Ten Hills,2014,112,4.18%,1
250,The Orchards,2014,46,1.72%,1
251,Towanda-Grantley,2014,222,8.28%,1
252,Tremont,2014,48,1.79%,1
253,Tuscany-Canterbury,2014,76,2.84%,1
254,Union Square,2014,306,11.42%,1
255,University Of Maryland,2014,158,5.90%,1
256,Uplands,2014,96,3.58%,1
257,Upper Fells Point,2014,366,13.66%,1
258,Upton,2014,962,35.90%,2
259,Villages Of Homeland,2014,4,0.15%,1
260,Violetville,2014,262,9.78%,1
261,Wakefield,2014,152,5.67%,1
262,Walbrook,2014,356,13.28%,1
263,Waltherson,2014,592,22.09%,2
264,Washington Hill,2014,578,21.57%,2
265,Washington Village/Pigtown,2014,1182,44.10%,3
266,Waverly,2014,356,13.28%,1
267,West Arlington,2014,212,7.91%,1
268,West Forest Park,2014,202,7.54%,1
269,West Hills,2014,140,5.22%,1
270,WESTERN,2014,2,0.07%,1
271,Westfield,2014,350,13.06%,1
272,Westgate,2014,284,10.60%,1
273,Westport,2014,220,8.21%,1
274,Wilhelm Park,2014,94,3.51%,1
275,Wilson Park,2014,92,3.43%,1
276,Winchester,2014,124,4.63%,1
277,Windsor Hills,2014,160,5.97%,1
278,Winston-Govans,2014,134,5.00%,1
279,Woodberry,2014,196,7.31%,1
280,Woodbourne-McCabe,2014,112,4.18%,1
281,Woodbourne Heights,2014,224,8.36%,1
282,Woodmere,2014,406,15.15%,1
283,Wrenlane,2014,42,1.57%,1
284,Wyman Park,2014,98,3.66%,1
285,Wyndhurst,2014,58,2.16%,1
286,Yale Heights,2014,242,9.03%,1
287,York-Homeland,2014,60,2.24%,1
