,LABEL,YEAR,COUNT,Percentile,Rank
156,Medford,2010,176,4.99%,1
157,Mid-Govans,2010,158,4.48%,1
158,Mid-Town Belvedere,2010,950,26.94%,2
159,Middle Branch/Reedbird Parks,2010,106,3.01%,1
160,Middle East,2010,404,11.46%,1
161,Midtown-Edmondson,2010,382,10.83%,1
162,Millhill,2010,426,12.08%,1
163,Milton-Montford,2010,236,6.69%,1
164,Mondawmin,2010,1418,40.22%,3
165,Montebello,2010,44,1.25%,1
166,Moravia-Walther,2010,130,3.69%,1
167,Morgan Park,2010,18,0.51%,1
168,Morgan State University,2010,36,1.02%,1
169,Morrell Park,2010,782,22.18%,2
170,Mosher,2010,272,7.71%,1
171,Mount Holly,2010,196,5.56%,1
172,Mount Vernon,2010,1182,33.52%,2
173,Mount Washington,2010,274,7.77%,1
174,Mount Winans,2010,90,2.55%,1
175,Mt Pleasant Park,2010,6,0.17%,1
176,New Northwood,2010,456,12.93%,1
177,New Southwest/Mount Clare,2010,508,14.41%,1
178,North Harford Road,2010,424,12.02%,1
179,North Roland Park/Poplar Hill,2010,60,1.70%,1
180,NORTHEASTERN,NA,NA,0.00%,0
181,NORTHERN,NA,NA,0.00%,0
182,Northwest Community Action,2010,232,6.58%,1
183,NORTHWESTERN,NA,NA,0.00%,0
184,O'Donnell Heights,2010,104,2.95%,1
185,Oakenshawe,2010,178,5.05%,1
186,Oaklee,2010,76,2.16%,1
187,Old Goucher,2010,282,8.00%,1
188,Oldtown,2010,480,13.61%,1
189,Oliver,2010,662,18.77%,1
190,Orangeville,2010,136,3.86%,1
191,Orangeville Industrial Area,2010,88,2.50%,1
192,Orchard Ridge,2010,78,2.21%,1
193,Original Northwood,2010,134,3.80%,1
194,Otterbein,2010,284,8.05%,1
195,Overlea,2010,56,1.59%,1
196,Panway/Braddish Avenue,2010,218,6.18%,1
197,Park Circle,2010,480,13.61%,1
198,Parklane,2010,316,8.96%,1
199,Parkside,2010,190,5.39%,1
200,Parkview/Woodbrook,2010,316,8.96%,1
201,Patterson Park,2010,64,1.82%,1
202,Patterson Park Neighborhood,2010,1008,28.59%,2
203,Patterson Place,2010,180,5.10%,1
204,Pen Lucy,2010,380,10.78%,1
205,Penn-Fallsway,2010,346,9.81%,1
206,Penn North,2010,546,15.48%,1
207,Penrose/Fayette Street Outreach,2010,624,17.70%,1
208,Perkins Homes,2010,256,7.26%,1
209,Perring Loch,2010,230,6.52%,1
210,Pimlico Good Neighbors,2010,162,4.59%,1
211,Pleasant View Gardens,2010,140,3.97%,1
212,Poppleton,2010,562,15.94%,1
213,Port Covington,2010,82,2.33%,1
214,Pulaski Industrial Area,2010,480,13.61%,1
215,Purnell,2010,90,2.55%,1
216,Radnor-Winston,2010,68,1.93%,1
217,Ramblewood,2010,160,4.54%,1
218,Reisterstown Station,2010,704,19.97%,1
219,Remington,2010,402,11.40%,1
220,Reservoir Hill,2010,934,26.49%,2
221,Richnor Springs,2010,82,2.33%,1
222,Ridgely's Delight,2010,210,5.96%,1
223,Riverside,2010,928,26.32%,2
224,Rognel Heights,2010,226,6.41%,1
225,Roland Park,2010,258,7.32%,1
226,Rosebank,2010,90,2.55%,1
227,Rosemont,2010,424,12.02%,1
228,Rosemont East,2010,226,6.41%,1
229,Rosemont Homeowners/Tenants,2010,296,8.39%,1
230,Sabina-Mattfeldt,2010,46,1.30%,1
231,Saint Agnes,2010,64,1.82%,1
232,Saint Helena,2010,76,2.16%,1
233,Saint Josephs,2010,254,7.20%,1
234,Saint Paul,2010,24,0.68%,1
235,Sandtown-Winchester,2010,1530,43.39%,3
236,Seton Business Park,2010,110,3.12%,1
237,Seton Hill,2010,330,9.36%,1
238,Sharp-Leadenhall,2010,312,8.85%,1
239,Shipley Hill,2010,354,10.04%,1
240,South Baltimore,2010,482,13.67%,1
241,South Clifton Park,2010,192,5.45%,1
242,SOUTHEASTERN,NA,NA,0.00%,0
243,SOUTHERN,NA,NA,0.00%,0
244,SOUTHWESTERN,NA,NA,0.00%,0
245,Spring Garden Industrial Area,2010,36,1.02%,1
246,Stadium Area,2010,116,3.29%,1
247,Stonewood-Pentwood-Winston,2010,116,3.29%,1
248,Taylor Heights,2010,24,0.68%,1
249,Ten Hills,2010,120,3.40%,1
250,The Orchards,2010,24,0.68%,1
251,Towanda-Grantley,2010,208,5.90%,1
252,Tremont,2010,60,1.70%,1
253,Tuscany-Canterbury,2010,110,3.12%,1
254,Union Square,2010,320,9.08%,1
255,University Of Maryland,2010,184,5.22%,1
256,Uplands,2010,86,2.44%,1
257,Upper Fells Point,2010,458,12.99%,1
258,Upton,2010,1246,35.34%,2
259,Villages Of Homeland,2010,6,0.17%,1
260,Violetville,2010,374,10.61%,1
261,Wakefield,2010,234,6.64%,1
262,Walbrook,2010,386,10.95%,1
263,Waltherson,2010,594,16.85%,1
264,Washington Hill,2010,606,17.19%,1
265,Washington Village/Pigtown,2010,1138,32.27%,2
266,Waverly,2010,458,12.99%,1
267,West Arlington,2010,228,6.47%,1
268,West Forest Park,2010,298,8.45%,1
269,West Hills,2010,122,3.46%,1
270,WESTERN,NA,NA,0.00%,0
271,Westfield,2010,298,8.45%,1
272,Westgate,2010,214,6.07%,1
273,Westport,2010,390,11.06%,1
274,Wilhelm Park,2010,84,2.38%,1
275,Wilson Park,2010,134,3.80%,1
276,Winchester,2010,138,3.91%,1
277,Windsor Hills,2010,136,3.86%,1
278,Winston-Govans,2010,126,3.57%,1
279,Woodberry,2010,222,6.30%,1
280,Woodbourne-McCabe,2010,96,2.72%,1
281,Woodbourne Heights,2010,194,5.50%,1
282,Woodmere,2010,408,11.57%,1
283,Wrenlane,2010,42,1.19%,1
284,Wyman Park,2010,114,3.23%,1
285,Wyndhurst,2010,92,2.61%,1
286,Yale Heights,2010,234,6.64%,1
287,York-Homeland,2010,38,1.08%,1
