,LABEL,YEAR,COUNT,Percentile,Rank
233,Saint Josephs,2013,276,8.39%,1
234,Saint Paul,2013,58,1.76%,1
235,Sandtown-Winchester,2013,1412,42.94%,3
236,Seton Business Park,2013,236,7.18%,1
237,Seton Hill,2013,298,9.06%,1
238,Sharp-Leadenhall,2013,156,4.74%,1
239,Shipley Hill,2013,352,10.71%,1
240,South Baltimore,2013,342,10.40%,1
241,South Clifton Park,2013,216,6.57%,1
242,SOUTHEASTERN,NA,NA,0.00%,0
243,SOUTHERN,NA,NA,0.00%,0
244,SOUTHWESTERN,NA,NA,0.00%,0
245,Spring Garden Industrial Area,2013,40,1.22%,1
246,Stadium Area,2013,168,5.11%,1
247,Stonewood-Pentwood-Winston,2013,88,2.68%,1
248,Taylor Heights,2013,14,0.43%,1
249,Ten Hills,2013,104,3.16%,1
250,The Orchards,2013,52,1.58%,1
251,Towanda-Grantley,2013,228,6.93%,1
252,Tremont,2013,66,2.01%,1
253,Tuscany-Canterbury,2013,140,4.26%,1
254,Union Square,2013,324,9.85%,1
255,University Of Maryland,2013,214,6.51%,1
256,Uplands,2013,92,2.80%,1
257,Upper Fells Point,2013,528,16.06%,1
258,Upton,2013,1020,31.02%,2
259,Villages Of Homeland,2013,2,0.06%,1
260,Violetville,2013,300,9.12%,1
261,Wakefield,2013,148,4.50%,1
262,Walbrook,2013,298,9.06%,1
263,Waltherson,2013,708,21.53%,2
264,Washington Hill,2013,692,21.05%,2
265,Washington Village/Pigtown,2013,1182,35.95%,2
266,Waverly,2013,382,11.62%,1
267,West Arlington,2013,234,7.12%,1
268,West Forest Park,2013,216,6.57%,1
269,West Hills,2013,130,3.95%,1
270,WESTERN,NA,NA,0.00%,0
271,Westfield,2013,340,10.34%,1
272,Westgate,2013,232,7.06%,1
273,Westport,2013,310,9.43%,1
274,Wilhelm Park,2013,114,3.47%,1
275,Wilson Park,2013,82,2.49%,1
276,Winchester,2013,154,4.68%,1
277,Windsor Hills,2013,286,8.70%,1
278,Winston-Govans,2013,146,4.44%,1
279,Woodberry,2013,218,6.63%,1
280,Woodbourne-McCabe,2013,112,3.41%,1
281,Woodbourne Heights,2013,184,5.60%,1
282,Woodmere,2013,494,15.02%,1
283,Wrenlane,2013,34,1.03%,1
284,Wyman Park,2013,110,3.35%,1
285,Wyndhurst,2013,86,2.62%,1
286,Yale Heights,2013,212,6.45%,1
287,York-Homeland,2013,56,1.70%,1
