,LABEL,YEAR,COUNT,Percentile,Rank
70,East Arlington,2012,204,5.18%,1
71,East Baltimore Midway,2012,776,19.72%,1
72,EASTERN,NA,NA,0.00%,0
73,Easterwood,2012,250,6.35%,1
74,Eastwood,2012,58,1.47%,1
75,Edgewood,2012,210,5.34%,1
76,Edmondson Village,2012,378,9.60%,1
77,Ednor Gardens-Lakeside,2012,604,15.35%,1
78,Ellwood Park/Monument,2012,726,18.45%,1
79,Evergreen,2012,32,0.81%,1
80,Evergreen Lawn,2012,142,3.61%,1
81,Evesham Park,2012,116,2.95%,1
82,Fairfield Area,2012,146,3.71%,1
83,Fairmont,2012,230,5.84%,1
84,Fallstaff,2012,356,9.04%,1
85,Federal Hill,2012,614,15.60%,1
86,Fells Point,2012,1444,36.69%,2
87,Forest Park,2012,166,4.22%,1
88,Forest Park Golf Course,2012,26,0.66%,1
89,Four By Four,2012,254,6.45%,1
90,Frankford,2012,2252,57.22%,3
91,Franklin Square,2012,440,11.18%,1
92,Franklintown,2012,116,2.95%,1
93,Franklintown Road,2012,294,7.47%,1
94,Garwyn Oaks,2012,166,4.22%,1
95,Gay Street,2012,498,12.65%,1
96,Glen,2012,586,14.89%,1
97,Glen Oaks,2012,324,8.23%,1
98,Glenham-Belhar,2012,628,15.96%,1
99,Graceland Park,2012,322,8.18%,1
100,Greektown,2012,560,14.23%,1
101,Greenmount Cemetery,2012,2,0.05%,1
102,Greenmount West,2012,414,10.52%,1
103,Greenspring,2012,380,9.65%,1
104,Grove Park,2012,184,4.67%,1
105,Guilford,2012,190,4.83%,1
106,Gwynns Falls,2012,136,3.46%,1
107,Gwynns Falls/Leakin Park,2012,54,1.37%,1
108,Hamilton Hills,2012,1098,27.90%,2
109,Hampden,2012,856,21.75%,2
110,Hanlon-Longwood,2012,374,9.50%,1
111,Harlem Park,2012,752,19.11%,1
112,Harwood,2012,262,6.66%,1
113,Hawkins Point,2012,90,2.29%,1
114,Heritage Crossing,2012,178,4.52%,1
115,Herring Run Park,2012,30,0.76%,1
116,Highlandtown,2012,618,15.70%,1
117,Hillen,2012,266,6.76%,1
118,Hoes Heights,2012,62,1.58%,1
119,Holabird Industrial Park,2012,44,1.12%,1
120,Hollins Market,2012,432,10.98%,1
121,Homeland,2012,246,6.25%,1
122,Hopkins Bayview,2012,110,2.79%,1
123,Howard Park,2012,552,14.02%,1
124,Hunting Ridge,2012,148,3.76%,1
125,Idlewood,2012,176,4.47%,1
126,Inner Harbor,2012,1694,43.04%,3
127,Irvington,2012,568,14.43%,1
128,Johns Hopkins Homewood,2012,88,2.24%,1
129,Johnston Square,2012,644,16.36%,1
130,Jones Falls Area,2012,134,3.40%,1
131,Jonestown,2012,420,10.67%,1
132,Kenilworth Park,2012,106,2.69%,1
133,Kernewood,2012,88,2.24%,1
134,Keswick,2012,28,0.71%,1
135,Kresson,2012,162,4.12%,1
136,Lake Evesham,2012,48,1.22%,1
137,Lake Walker,2012,208,5.28%,1
138,Lakeland,2012,654,16.62%,1
139,Langston Hughes,2012,196,4.98%,1
140,Lauraville,2012,372,9.45%,1
141,Levindale,2012,170,4.32%,1
142,Liberty Square,2012,198,5.03%,1
143,Little Italy,2012,288,7.32%,1
144,Loch Raven,2012,616,15.65%,1
145,Locust Point,2012,148,3.76%,1
146,Locust Point Industrial Area,2012,140,3.56%,1
147,Lower Edmondson Village,2012,52,1.32%,1
148,Lower Herring Run Park,2012,10,0.25%,1
149,Loyola/Notre Dame,2012,52,1.32%,1
150,Lucille Park,2012,90,2.29%,1
151,Madison-Eastend,2012,408,10.37%,1
152,Madison Park,2012,552,14.02%,1
153,Mayfield,2012,122,3.10%,1
154,McElderry Park,2012,924,23.48%,2
155,Medfield,2012,146,3.71%,1
156,Medford,2012,152,3.86%,1
157,Mid-Govans,2012,180,4.57%,1
158,Mid-Town Belvedere,2012,932,23.68%,2
159,Middle Branch/Reedbird Parks,2012,86,2.18%,1
160,Middle East,2012,368,9.35%,1
161,Midtown-Edmondson,2012,356,9.04%,1
162,Millhill,2012,446,11.33%,1
163,Milton-Montford,2012,346,8.79%,1
164,Mondawmin,2012,1236,31.40%,2
165,Montebello,2012,168,4.27%,1
166,Moravia-Walther,2012,114,2.90%,1
167,Morgan Park,2012,16,0.41%,1
168,Morgan State University,2012,48,1.22%,1
169,Morrell Park,2012,514,13.06%,1
170,Mosher,2012,234,5.95%,1
171,Mount Holly,2012,226,5.74%,1
172,Mount Vernon,2012,1078,27.39%,2
173,Mount Washington,2012,248,6.30%,1
174,Mount Winans,2012,74,1.88%,1
175,Mt Pleasant Park,2012,4,0.10%,1
176,New Northwood,2012,502,12.75%,1
177,New Southwest/Mount Clare,2012,426,10.82%,1
178,North Harford Road,2012,522,13.26%,1
179,North Roland Park/Poplar Hill,2012,90,2.29%,1
180,NORTHEASTERN,2012,2,0.05%,1
181,NORTHERN,NA,NA,0.00%,0
182,Northwest Community Action,2012,272,6.91%,1
183,NORTHWESTERN,NA,NA,0.00%,0
184,O'Donnell Heights,2012,130,3.30%,1
185,Oakenshawe,2012,128,3.25%,1
186,Oaklee,2012,56,1.42%,1
187,Old Goucher,2012,288,7.32%,1
188,Oldtown,2012,502,12.75%,1
189,Oliver,2012,938,23.83%,2
190,Orangeville,2012,106,2.69%,1
191,Orangeville Industrial Area,2012,110,2.79%,1
192,Orchard Ridge,2012,98,2.49%,1
193,Original Northwood,2012,104,2.64%,1
194,Otterbein,2012,180,4.57%,1
195,Overlea,2012,64,1.63%,1
196,Panway/Braddish Avenue,2012,190,4.83%,1
197,Park Circle,2012,418,10.62%,1
198,Parklane,2012,274,6.96%,1
199,Parkside,2012,240,6.10%,1
200,Parkview/Woodbrook,2012,332,8.43%,1
201,Patterson Park,2012,88,2.24%,1
202,Patterson Park Neighborhood,2012,1098,27.90%,2
203,Patterson Place,2012,226,5.74%,1
204,Pen Lucy,2012,362,9.20%,1
205,Penn-Fallsway,2012,406,10.32%,1
206,Penn North,2012,548,13.92%,1
207,Penrose/Fayette Street Outreach,2012,562,14.28%,1
208,Perkins Homes,2012,260,6.61%,1
209,Perring Loch,2012,194,4.93%,1
210,Pimlico Good Neighbors,2012,146,3.71%,1
211,Pleasant View Gardens,2012,84,2.13%,1
212,Poppleton,2012,522,13.26%,1
213,Port Covington,2012,142,3.61%,1
214,Pulaski Industrial Area,2012,512,13.01%,1
215,Purnell,2012,38,0.97%,1
216,Radnor-Winston,2012,40,1.02%,1
217,Ramblewood,2012,164,4.17%,1
218,Reisterstown Station,2012,702,17.84%,1
219,Remington,2012,362,9.20%,1
220,Reservoir Hill,2012,968,24.59%,2
221,Richnor Springs,2012,78,1.98%,1
222,Ridgely's Delight,2012,194,4.93%,1
223,Riverside,2012,580,14.74%,1
224,Rognel Heights,2012,348,8.84%,1
225,Roland Park,2012,252,6.40%,1
226,Rosebank,2012,88,2.24%,1
227,Rosemont,2012,370,9.40%,1
228,Rosemont East,2012,196,4.98%,1
229,Rosemont Homeowners/Tenants,2012,254,6.45%,1
230,Sabina-Mattfeldt,2012,30,0.76%,1
231,Saint Agnes,2012,98,2.49%,1
232,Saint Helena,2012,54,1.37%,1
233,Saint Josephs,2012,262,6.66%,1
234,Saint Paul,2012,18,0.46%,1
235,Sandtown-Winchester,2012,1412,35.87%,2
236,Seton Business Park,2012,152,3.86%,1
237,Seton Hill,2012,324,8.23%,1
238,Sharp-Leadenhall,2012,226,5.74%,1
239,Shipley Hill,2012,324,8.23%,1
240,South Baltimore,2012,426,10.82%,1
241,South Clifton Park,2012,208,5.28%,1
242,SOUTHEASTERN,NA,NA,0.00%,0
243,SOUTHERN,NA,NA,0.00%,0
244,SOUTHWESTERN,NA,NA,0.00%,0
245,Spring Garden Industrial Area,2012,40,1.02%,1
246,Stadium Area,2012,172,4.37%,1
247,Stonewood-Pentwood-Winston,2012,84,2.13%,1
248,Taylor Heights,2012,26,0.66%,1
249,Ten Hills,2012,126,3.20%,1
250,The Orchards,2012,16,0.41%,1
251,Towanda-Grantley,2012,244,6.20%,1
252,Tremont,2012,54,1.37%,1
253,Tuscany-Canterbury,2012,80,2.03%,1
254,Union Square,2012,282,7.16%,1
255,University Of Maryland,2012,258,6.55%,1
256,Uplands,2012,72,1.83%,1
257,Upper Fells Point,2012,568,14.43%,1
258,Upton,2012,1384,35.16%,2
259,Villages Of Homeland,2012,8,0.20%,1
260,Violetville,2012,398,10.11%,1
261,Wakefield,2012,170,4.32%,1
262,Walbrook,2012,420,10.67%,1
263,Waltherson,2012,668,16.97%,1
264,Washington Hill,2012,546,13.87%,1
265,Washington Village/Pigtown,2012,1074,27.29%,2
266,Waverly,2012,436,11.08%,1
267,West Arlington,2012,232,5.89%,1
268,West Forest Park,2012,210,5.34%,1
269,West Hills,2012,160,4.07%,1
270,WESTERN,NA,NA,0.00%,0
271,Westfield,2012,282,7.16%,1
272,Westgate,2012,264,6.71%,1
273,Westport,2012,386,9.81%,1
274,Wilhelm Park,2012,90,2.29%,1
275,Wilson Park,2012,120,3.05%,1
276,Winchester,2012,158,4.01%,1
277,Windsor Hills,2012,186,4.73%,1
278,Winston-Govans,2012,176,4.47%,1
279,Woodberry,2012,158,4.01%,1
280,Woodbourne-McCabe,2012,106,2.69%,1
281,Woodbourne Heights,2012,194,4.93%,1
282,Woodmere,2012,518,13.16%,1
283,Wrenlane,2012,42,1.07%,1
284,Wyman Park,2012,50,1.27%,1
285,Wyndhurst,2012,70,1.78%,1
286,Yale Heights,2012,244,6.20%,1
287,York-Homeland,2012,48,1.22%,1
