,LABEL,YEAR,COUNT,Percentile,Rank
246,Stadium Area,2011,132,3.64%,1
247,Stonewood-Pentwood-Winston,2011,90,2.48%,1
248,Taylor Heights,2011,12,0.33%,1
249,Ten Hills,2011,122,3.36%,1
250,The Orchards,2011,16,0.44%,1
251,Towanda-Grantley,2011,248,6.84%,1
252,Tremont,2011,38,1.05%,1
253,Tuscany-Canterbury,2011,80,2.21%,1
254,Union Square,2011,346,9.54%,1
255,University Of Maryland,2011,232,6.40%,1
256,Uplands,2011,70,1.93%,1
257,Upper Fells Point,2011,496,13.68%,1
258,Upton,2011,1458,40.21%,3
259,Villages Of Homeland,2011,4,0.11%,1
260,Violetville,2011,338,9.32%,1
261,Wakefield,2011,230,6.34%,1
262,Walbrook,2011,366,10.09%,1
263,Waltherson,2011,742,20.46%,2
264,Washington Hill,2011,786,21.68%,2
265,Washington Village/Pigtown,2011,1010,27.85%,2
266,Waverly,2011,360,9.93%,1
267,West Arlington,2011,192,5.30%,1
268,West Forest Park,2011,204,5.63%,1
269,West Hills,2011,148,4.08%,1
270,WESTERN,NA,NA,0.00%,0
271,Westfield,2011,374,10.31%,1
272,Westgate,2011,246,6.78%,1
273,Westport,2011,452,12.47%,1
274,Wilhelm Park,2011,86,2.37%,1
275,Wilson Park,2011,126,3.47%,1
276,Winchester,2011,174,4.80%,1
277,Windsor Hills,2011,184,5.07%,1
278,Winston-Govans,2011,102,2.81%,1
279,Woodberry,2011,194,5.35%,1
280,Woodbourne-McCabe,2011,100,2.76%,1
281,Woodbourne Heights,2011,214,5.90%,1
282,Woodmere,2011,434,11.97%,1
283,Wrenlane,2011,42,1.16%,1
284,Wyman Park,2011,90,2.48%,1
285,Wyndhurst,2011,50,1.38%,1
286,Yale Heights,2011,294,8.11%,1
287,York-Homeland,2011,30,0.83%,1
